start,end,surface,display_label,specificity,entity_type,source,canonical,term_id,domain,match_policy,value,unit,confidence,count,context
32,38,метода,Method,generic,Method,heuristic_word,,,,,,,0.85,4,<!-- image --> Опыт применения метода полной разгрузки керна для определения напряженно деформированного состояния массива горных пород Т
39,61,полной разгрузки керна,Process,generic,Process,heuristic_phrase,,,,,,,0.55,7,<!-- image --> Опыт применения метода полной разгрузки керна для определения напряженно деформированного состояния массива горных пород Талнахского месторождени
78,115,напряженно деформированного состояния,Property,generic,Property,heuristic_phrase,,,,,,,0.55,3,<!-- image --> Опыт применения метода полной разгрузки керна для определения напряженно деформированного состояния массива горных пород Талнахского месторождения ООО «ИНСТИТУТ ГИПРОНИКЕЛЬ»: ДЕПАРТАМЕНТ ПО ИССЛЕДОВ
116,123,массива,RockMass,generic,RockMass,heuristic_word,,,,,,,0.85,5,Опыт применения метода полной разгрузки керна для определения напряженно деформированного состояния массива горных пород Талнахского месторождения ООО «ИНСТИТУТ ГИПРОНИКЕЛЬ»: ДЕПАРТАМЕНТ ПО ИССЛЕДОВАНИЯМ И
131,136,пород,RockMass,generic,RockMass,heuristic_word,,,,,,,0.85,2,метода полной разгрузки керна для определения напряженно деформированного состояния массива горных пород Талнахского месторождения ООО «ИНСТИТУТ ГИПРОНИКЕЛЬ»: ДЕПАРТАМЕНТ ПО ИССЛЕДОВАНИЯМ И РАЗРАБОТКАМ
137,162,Талнахского месторождения,MineObject,generic,MineObject,heuristic_phrase,,,,,,,0.55,2,а полной разгрузки керна для определения напряженно деформированного состояния массива горных пород Талнахского месторождения ООО «ИНСТИТУТ ГИПРОНИКЕЛЬ»: ДЕПАРТАМЕНТ ПО ИССЛЕДОВАНИЯМ И РАЗРАБОТКАМ ДОКЛАДЧИК ЗАВЕДУЮЩИЙ ЛАБОР
164,167,ООО,Organization,generic,Organization,heuristic_word,,,,,,,0.65,1,я определения напряженно деформированного состояния массива горных пород Талнахского месторождения ООО «ИНСТИТУТ ГИПРОНИКЕЛЬ»: ДЕПАРТАМЕНТ ПО ИССЛЕДОВАНИЯМ И РАЗРАБОТКАМ ДОКЛАДЧИК ЗАВЕДУЮЩИЙ ЛАБОРАТОРИ
169,177,ИНСТИТУТ,Organization,generic,Organization,heuristic_word,,,,,,,0.85,1,еделения напряженно деформированного состояния массива горных пород Талнахского месторождения ООО «ИНСТИТУТ ГИПРОНИКЕЛЬ»: ДЕПАРТАМЕНТ ПО ИССЛЕДОВАНИЯМ И РАЗРАБОТКАМ ДОКЛАДЧИК ЗАВЕДУЮЩИЙ ЛАБОРАТОРИЕЙ ГЕОТЕХН
178,189,ГИПРОНИКЕЛЬ,Organization,generic,Organization,heuristic_word,,,,,,,0.85,4,"напряженно деформированного состояния массива горных пород Талнахского месторождения ООО «ИНСТИТУТ ГИПРОНИКЕЛЬ»: ДЕПАРТАМЕНТ ПО ИССЛЕДОВАНИЯМ И РАЗРАБОТКАМ ДОКЛАДЧИК ЗАВЕДУЮЩИЙ ЛАБОРАТОРИЕЙ ГЕОТЕХНИКИ, К.Т.Н."
192,203,ДЕПАРТАМЕНТ,Organization,generic,Organization,heuristic_word,,,,,,,0.85,1,"ормированного состояния массива горных пород Талнахского месторождения ООО «ИНСТИТУТ ГИПРОНИКЕЛЬ»: ДЕПАРТАМЕНТ ПО ИССЛЕДОВАНИЯМ И РАЗРАБОТКАМ ДОКЛАДЧИК ЗАВЕДУЮЩИЙ ЛАБОРАТОРИЕЙ ГЕОТЕХНИКИ, К.Т.Н. ТРОФИМОВ А.В."
236,245,ДОКЛАДЧИК,Expert,generic,Expert,heuristic_word,,,,,,,0.85,1,"Талнахского месторождения ООО «ИНСТИТУТ ГИПРОНИКЕЛЬ»: ДЕПАРТАМЕНТ ПО ИССЛЕДОВАНИЯМ И РАЗРАБОТКАМ ДОКЛАДЧИК ЗАВЕДУЮЩИЙ ЛАБОРАТОРИЕЙ ГЕОТЕХНИКИ, К.Т.Н. ТРОФИМОВ А.В. ## Введение ## Введение Освоение новых"
246,256,ЗАВЕДУЮЩИЙ,Expert,generic,Expert,heuristic_word,,,,,,,0.85,1,"го месторождения ООО «ИНСТИТУТ ГИПРОНИКЕЛЬ»: ДЕПАРТАМЕНТ ПО ИССЛЕДОВАНИЯМ И РАЗРАБОТКАМ ДОКЛАДЧИК ЗАВЕДУЮЩИЙ ЛАБОРАТОРИЕЙ ГЕОТЕХНИКИ, К.Т.Н. ТРОФИМОВ А.В. ## Введение ## Введение Освоение новых горизонтов"
257,269,ЛАБОРАТОРИЕЙ,Organization,generic,Organization,heuristic_word,,,,,,,0.85,1,"дения ООО «ИНСТИТУТ ГИПРОНИКЕЛЬ»: ДЕПАРТАМЕНТ ПО ИССЛЕДОВАНИЯМ И РАЗРАБОТКАМ ДОКЛАДЧИК ЗАВЕДУЮЩИЙ ЛАБОРАТОРИЕЙ ГЕОТЕХНИКИ, К.Т.Н. ТРОФИМОВ А.В. ## Введение ## Введение Освоение новых горизонтов на месторожде"
282,287,К.Т.Н,Expert,generic,Expert,heuristic_word,,,,,,,0.85,1,"ОНИКЕЛЬ»: ДЕПАРТАМЕНТ ПО ИССЛЕДОВАНИЯМ И РАЗРАБОТКАМ ДОКЛАДЧИК ЗАВЕДУЮЩИЙ ЛАБОРАТОРИЕЙ ГЕОТЕХНИКИ, К.Т.Н. ТРОФИМОВ А.В. ## Введение ## Введение Освоение новых горизонтов на месторождениях полезных иско"
289,297,ТРОФИМОВ,Expert,generic,Expert,heuristic_word,,,,,,,0.85,1,"»: ДЕПАРТАМЕНТ ПО ИССЛЕДОВАНИЯМ И РАЗРАБОТКАМ ДОКЛАДЧИК ЗАВЕДУЮЩИЙ ЛАБОРАТОРИЕЙ ГЕОТЕХНИКИ, К.Т.Н. ТРОФИМОВ А.В. ## Введение ## Введение Освоение новых горизонтов на месторождениях полезных ископаемых, ра"
345,355,горизонтов,MineObject,generic,MineObject,heuristic_word,,,,,,,0.85,1,"ЗАВЕДУЮЩИЙ ЛАБОРАТОРИЕЙ ГЕОТЕХНИКИ, К.Т.Н. ТРОФИМОВ А.В. ## Введение ## Введение Освоение новых горизонтов на месторождениях полезных ископаемых, разрабатываемых подземным способом, все чаще требует проведе"
374,382,полезных,Material,generic,Material,heuristic_word,,,,,,,0.85,1,"ЕХНИКИ, К.Т.Н. ТРОФИМОВ А.В. ## Введение ## Введение Освоение новых горизонтов на месторождениях полезных ископаемых, разрабатываемых подземным способом, все чаще требует проведения комплексных геомеханиче"
383,393,ископаемых,Material,generic,Material,heuristic_word,,,,,,,0.85,1,".Т.Н. ТРОФИМОВ А.В. ## Введение ## Введение Освоение новых горизонтов на месторождениях полезных ископаемых, разрабатываемых подземным способом, все чаще требует проведения комплексных геомеханических исслед"
471,486,геомеханических,Technology,generic,Technology,heuristic_word,,,,,,,0.85,1,"ях полезных ископаемых, разрабатываемых подземным способом, все чаще требует проведения комплексных геомеханических исследований . Совместный анализ литолого-структурной и геомеханической моделей с материалами обсле"
651,675,численного моделирования,Model,generic,Model,heuristic_phrase,,,,,,,0.55,5,"ической моделей с материалами обследования подземных сооружений, результатами инженерных расчетов и численного моделирования является на сегодняшний момент наиболее предпочтительным способом обеспечения безопасности горных р"
716,732,предпочтительным,Recommendation,generic,Recommendation,heuristic_word,,,,,,,0.85,1,результатами инженерных расчетов и численного моделирования является на сегодняшний момент наиболее предпочтительным способом обеспечения безопасности горных работ . <!-- image --> <!-- image --> <!-- image --> В
875,885,напряжений,Property,generic,Property,heuristic_word,,,,,,,0.85,13,абот . <!-- image --> <!-- image --> <!-- image --> В этом контексте определение значений полей напряжений на участках подземного рудника вне зоны влияния очистных выработок представляет исходные данные для
909,916,рудника,MineObject,generic,MineObject,heuristic_word,,,,,,,0.85,1,--> <!-- image --> В этом контексте определение значений полей напряжений на участках подземного рудника вне зоны влияния очистных выработок представляет исходные данные для решения большого перечня задач
921,933,зоны влияния,Condition,generic,Condition,heuristic_phrase,,,,,,,0.55,2,"mage --> В этом контексте определение значений полей напряжений на участках подземного рудника вне зоны влияния очистных выработок представляет исходные данные для решения большого перечня задач, включая количес"
1048,1055,влияния,Condition,generic,Condition,heuristic_word,,,,,,,0.85,7,"оток представляет исходные данные для решения большого перечня задач, включая количественную оценку влияния тектонических напряжений на поле напряжений массива, т . к . превышение неравнокомпонентных горизон"
1070,1080,напряжений,Property,generic,Property,heuristic_word,,,,,,,0.85,13,"дные данные для решения большого перечня задач, включая количественную оценку влияния тектонических напряжений на поле напряжений массива, т . к . превышение неравнокомпонентных горизонтальных сжимающих напряже"
1084,1099,поле напряжений,Property,generic,Property,heuristic_phrase,,,,,,,0.55,3,"я решения большого перечня задач, включая количественную оценку влияния тектонических напряжений на поле напряжений массива, т . к . превышение неравнокомпонентных горизонтальных сжимающих напряжений на литостатичес"
1100,1107,массива,RockMass,generic,RockMass,heuristic_word,,,,,,,0.85,5,"го перечня задач, включая количественную оценку влияния тектонических напряжений на поле напряжений массива, т . к . превышение неравнокомпонентных горизонтальных сжимающих напряжений на литостатическим грав"
1148,1162,горизонтальных,Condition,generic,Condition,heuristic_word,,,,,,,0.85,1,"влияния тектонических напряжений на поле напряжений массива, т . к . превышение неравнокомпонентных горизонтальных сжимающих напряжений на литостатическим гравитационным полем от веса вышезалегающих пород значитель"
1163,1172,сжимающих,Condition,generic,Condition,heuristic_word,,,,,,,0.85,1,"ческих напряжений на поле напряжений массива, т . к . превышение неравнокомпонентных горизонтальных сжимающих напряжений на литостатическим гравитационным полем от веса вышезалегающих пород значительно увеличи"
1173,1183,напряжений,Property,generic,Property,heuristic_word,,,,,,,0.85,13,"ряжений на поле напряжений массива, т . к . превышение неравнокомпонентных горизонтальных сжимающих напряжений на литостатическим гравитационным полем от веса вышезалегающих пород значительно увеличивает вероят"
1187,1202,литостатическим,Condition,generic,Condition,heuristic_word,,,,,,,0.85,1,"е напряжений массива, т . к . превышение неравнокомпонентных горизонтальных сжимающих напряжений на литостатическим гравитационным полем от веса вышезалегающих пород значительно увеличивает вероятность критических д"
1247,1252,пород,RockMass,generic,RockMass,heuristic_word,,,,,,,0.85,2,"горизонтальных сжимающих напряжений на литостатическим гравитационным полем от веса вышезалегающих пород значительно увеличивает вероятность критических деформаций или горных ударов, что необходимо учитыв"
1289,1300,критических,Condition,generic,Condition,heuristic_word,,,,,,,0.85,1,"тостатическим гравитационным полем от веса вышезалегающих пород значительно увеличивает вероятность критических деформаций или горных ударов, что необходимо учитывать при горном планировании, развитии фронта очи"
1301,1311,деформаций,Property,generic,Property,heuristic_word,,,,,,,0.85,8,"м гравитационным полем от веса вышезалегающих пород значительно увеличивает вероятность критических деформаций или горных ударов, что необходимо учитывать при горном планировании, развитии фронта очистных работ"
1335,1345,необходимо,Recommendation,generic,Recommendation,heuristic_word,,,,,,,0.85,1,"езалегающих пород значительно увеличивает вероятность критических деформаций или горных ударов, что необходимо учитывать при горном планировании, развитии фронта очистных работ и выборе технологии проходки . #"
1421,1431,технологии,Technology,generic,Technology,heuristic_word,,,,,,,0.85,1,"х ударов, что необходимо учитывать при горном планировании, развитии фронта очистных работ и выборе технологии проходки . ## Введение ## В представленном докладе рассмотрено: - Обоснование необходимости пров"
1527,1547,проведения измерений,Process,generic,Process,heuristic_phrase,,,,,,,0.55,2,огии проходки . ## Введение ## В представленном докладе рассмотрено: - Обоснование необходимости проведения измерений для определения напряженнодеформированного состояния (далее НДС); - Обзор методов определения НДС и
1608,1611,НДС,Metric:НДС,specific,Metric,ontology,НДС,underground:StressStrainState,underground_mining,exact_phrase,,,1.0,0,ание необходимости проведения измерений для определения напряженнодеформированного состояния (далее НДС); - Обзор методов определения НДС и их применимости в различных условиях; - Прогноз НДС на основе л
